P_pv	P_sc	P_resultante
4.57005	-4.950000000025767e-05	4.67005
4.56057	0.00933619500000038	4.66057
4.5511	0.018618133050001262	4.6511
4.54163	0.02780725171950138	4.641629999999999
4.53215	0.036914379202306336	4.73215
4.52268	0.04592053541028296	4.72268
4.51321	0.054836630056180447	4.71321
4.50373	0.06367346375561844	4.70373
4.5	0.06672942911806246	4.7
4.5	0.06606213482688172	4.9
4.5	0.065401513478613	4.9
4.5	0.0647474983438272	4.9
4.5	0.064100023360389	5.1
4.5	0.06345902312678486	5.1
4.5	0.06282443289551676	5.2
4.5	0.06219618856656162	5.2
4.5029	0.05870322668089578	5.2029000000000005
4.51022	0.05086939441408678	5.2102200000000005
4.51753	0.043123800469946794	5.21753
4.52485	0.035445762465246666	5.22485
4.53217	0.027844504840594198	5.1321699999999995
4.53948	0.020329159792188634	5.13948
4.5468	0.012879068194266097	5.1468
4.55412	0.005503477512323052	5.05412
4.56143	-0.0017884572627995254	5.06143
4.56875	-0.00901737269017211	5.06875
4.57607	-0.01617399896327054	4.8760699999999995
4.58339	-0.02325905897363789	4.8833899999999995
4.59	-0.02957036838390259	4.89
4.58142	-0.02078046470006356	4.881419999999999
4.56909	-0.008365960053063226	4.66909
4.55676	0.003924399547467594	4.656759999999999
4.54443	0.016091855551992218	4.64443
4.5321	0.028137636996473425	4.632099999999999
4.51977	0.04006296062650794	4.61977
4.50745	0.05185913102024298	4.30745
4.5	0.058716039710041024	4.3
4.5	0.05812887931294064	4.3
4.5	0.05754759051981129	4.3
4.5	0.056972114614612934	4.5
4.5	0.05640239346846698	5.0
4.5	0.05583836953378185	5.0
4.5	0.05527998583844429	5.0
4.5	0.054727185980059545	5.0
4.5	0.05417991412025902	5.1
4.5	0.053638114979055906	5.1
4.5	0.05310173382926564	5.1
4.5	0.05257071649097256	5.1
4.5	0.05204500932606315	5.1
4.5	0.05152455923280197	5.1
4.5	0.05100931364047412	5.1
4.5	0.05049922050406952	5.1
4.5	0.04999422829902844	5.1
4.5	0.04949428601603767	5.1
4.5	0.048999343155877284	5.1
4.5	0.048509349724318085	5.1
4.5	0.04802425622707496	5.1
4.5	0.047544013664803764	5.1
4.5	0.047068573528155966	5.1
4.5	0.046597887792874104	5.1
4.5	0.04613190891494501	5.0
4.5	0.04567058982579564	5.0
4.5	0.04521388392753778	5.0
4.5	0.04476174508826247	5.0
4.5	0.04431412763737974	5.0
4.5	0.04387098636100539	5.0
4.5	0.043432276497394895	5.0
4.5	0.04299795373242077	5.0
4.5	0.04256797419509617	5.0
4.5	0.04214229445314466	5.0
4.5	0.04172087150861348	5.0
4.5	0.04130366279352682	5.0
4.5	0.04089062616559147	5.0
4.5	0.04048171990393534	5.0
4.5	0.04007690270489572	5.0
4.5	0.039676133677846614	5.0
4.5	0.03927937234106782	5.0
4.5	0.03888657861765665	5.0
4.5	0.038497712831479625	5.0
4.5	0.03811273570316498	5.0
4.5	0.03773160834613343	5.0
4.5	0.037354292262672395	5.0
4.5	0.036980749340045804	4.9
4.5	0.036610941846645595	4.9
4.5	0.036244832428178775	4.9
4.5	0.0358823841038971	4.9
4.5	0.035523560262857856	4.9
4.5	0.03516832466022901	4.9
4.5	0.03481664141362639	4.9
4.5	0.034468474999489906	4.9
4.5	0.0341237902494953	4.9
4.5	0.03378255234700056	4.9
4.5	0.0334447268235305	4.9
4.5	0.03311027955529511	4.9
4.5	0.032779176759741624	4.9
4.5	0.03245138499214395	4.9
4.5	0.032126871142222235	4.9
4.5	0.03180560243079977	4.9
4.5	0.03148754640649187	4.9
4.5	0.031172670942426706	4.9
4.5	0.030860944233002563	4.9
4.5	0.030552334790672653	4.9
4.5	0.03024681144276542	4.9
4.5	0.02994434332833773	4.9
4.5	0.02964489989505381	4.9
4.5	0.029348450896103273	4.9
4.5	0.029054966387142223	4.9
4.5	0.02876441672327079	4.9
4.5	0.0284767725560382	4.8
4.5	0.028192004830478012	4.8
4.5	0.027910084782172717	4.8
4.50943	0.01829528393435087	4.80943
4.52127	0.006390731095007318	4.82127
4.53311	-0.0053947762159420876	4.83311
4.54495	-0.017062428453782807	4.84495
4.5568	-0.028623304169244967	4.8568
4.56864	-0.04005867112755279	4.86864
4.58048	-0.05137968441627638	4.8804799999999995
4.59	-0.06029068757211409	4.49
4.59	-0.05968778069639313	4.49
4.59	-0.05909090288942931	4.49
4.59	-0.058499993860535504	4.49
4.59	-0.05791499392193078	4.09
4.59	-0.0573358439827123	4.09
4.59	-0.05676248554288588	4.09
4.59	-0.056194860687457826	4.09
4.59	-0.05563291208058363	4.09
4.59	-0.05507658295977791	4.09
4.59	-0.05452581713018034	4.09
4.59	-0.05398055895887932	4.09
4.59	-0.05344075336929066	4.09
4.59	-0.0529063458355985	4.09
4.59	-0.05237728237724326	4.09
4.59	-0.0518535095534709	4.09
4.59	-0.05133497445793633	4.09
4.59	-0.050821624713357494	4.09
4.59	-0.05031340846622445	4.09
4.59	-0.049810274381562714	4.09
4.59	-0.04931217163774715	4.09
4.59	-0.048819049921370095	4.09
4.5794	-0.03783685942215609	4.0794
4.56417	-0.02238079082793476	4.06417
4.54894	-0.0070792829196557605	4.04894
4.53371	0.008069209909541186	4.13371
4.51849	0.023056317810445925	4.1184899999999995
4.50326	0.03790345463234157	4.30326
4.5	0.040751820086017965	4.3
4.50726	0.03315690188515852	4.307259999999999
4.51785	0.022341232866305738	4.31785
4.52844	0.011633720537642667	4.52844
4.53903	0.001033283332265711	4.53903
4.54962	-0.00946114950105681	4.54962
4.56021	-0.01985063800604614	4.56021
