P_pv	P_sc	P_resultante
4.57005	-4.999999999988347e-05	4.57
4.56057	-4.999999999988347e-05	4.56052
4.5511	-4.999999999988347e-05	4.55105
4.54163	-4.999999999988347e-05	4.54158
4.53215	-4.999999999988347e-05	4.5321
4.52268	-4.999999999988347e-05	4.52263
4.51321	-4.999999999988347e-05	4.51316
4.50373	-4.999999999988347e-05	4.50368
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5029	-4.999999999988347e-05	4.5028500000000005
4.51022	-4.999999999988347e-05	4.5101700000000005
4.51753	-4.999999999988347e-05	4.51748
4.52485	-4.999999999988347e-05	4.5248
4.53217	-4.999999999988347e-05	4.53212
4.53948	-4.999999999988347e-05	4.53943
4.5468	-4.999999999988347e-05	4.54675
4.55412	-4.999999999988347e-05	4.55407
4.56143	-4.999999999988347e-05	4.56138
4.56875	-4.999999999988347e-05	4.5687
4.57607	-4.999999999988347e-05	4.57602
4.58339	-4.999999999988347e-05	4.58334
4.59	-4.999999999988347e-05	4.58995
4.58142	-4.999999999988347e-05	4.58137
4.56909	-4.999999999988347e-05	4.56904
4.55676	-4.999999999988347e-05	4.55671
4.54443	-4.999999999988347e-05	4.54438
4.5321	-4.999999999988347e-05	4.53205
4.51977	-4.999999999988347e-05	4.51972
4.50745	-4.999999999988347e-05	4.5074000000000005
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.5	-4.999999999988347e-05	4.49995
4.50943	-4.999999999988347e-05	4.50938
4.52127	-4.999999999988347e-05	4.5212200000000005
4.53311	-4.999999999988347e-05	4.53306
4.54495	-4.999999999988347e-05	4.5449
4.5568	-4.999999999988347e-05	4.55675
4.56864	-4.999999999988347e-05	4.56859
4.58048	-4.999999999988347e-05	4.58043
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.5794	-4.999999999988347e-05	4.57935
4.56417	-4.999999999988347e-05	4.56412
4.54894	-4.999999999988347e-05	4.54889
4.53371	-4.999999999988347e-05	4.53366
4.51849	-4.999999999988347e-05	4.51844
4.50326	-4.999999999988347e-05	4.50321
4.5	-4.999999999988347e-05	4.49995
4.50726	-4.999999999988347e-05	4.50721
4.51785	-4.999999999988347e-05	4.5178
4.52844	-4.999999999988347e-05	4.52839
4.53903	-4.999999999988347e-05	4.5389800000000005
4.54962	-4.999999999988347e-05	4.54957
4.56021	-4.999999999988347e-05	4.56016
4.57079	-4.999999999988347e-05	4.57074
4.58138	-4.999999999988347e-05	4.58133
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
4.59	-4.999999999988347e-05	4.58995
