,P_resultante,P_sc,P_pv,Tiempo [m]
105,4.49995,-4.999999999988347e-05,4.5,0.175
106,4.49995,-4.999999999988347e-05,4.5,0.17666666666666667
107,4.49995,-4.999999999988347e-05,4.5,0.17833333333333334
108,4.49995,-4.999999999988347e-05,4.5,0.18
109,4.49995,-4.999999999988347e-05,4.5,0.18166666666666667
110,4.49995,-4.999999999988347e-05,4.5,0.18333333333333332
111,4.50938,-4.999999999988347e-05,4.50943,0.185
112,4.5212200000000005,-4.999999999988347e-05,4.52127,0.18666666666666668
113,4.53306,-4.999999999988347e-05,4.53311,0.18833333333333332
114,4.5449,-4.999999999988347e-05,4.54495,0.19
115,4.55675,-4.999999999988347e-05,4.5568,0.19166666666666668
116,4.56859,-4.999999999988347e-05,4.56864,0.19333333333333333
117,4.58043,-4.999999999988347e-05,4.58048,0.195
118,4.58995,-4.999999999988347e-05,4.59,0.19666666666666666
119,4.58995,-4.999999999988347e-05,4.59,0.19833333333333333
120,4.58995,-4.999999999988347e-05,4.59,0.2
121,4.58995,-4.999999999988347e-05,4.59,0.20166666666666666
122,4.58995,-4.999999999988347e-05,4.59,0.20333333333333334
123,4.58995,-4.999999999988347e-05,4.59,0.205
124,4.58995,-4.999999999988347e-05,4.59,0.20666666666666667
125,4.58995,-4.999999999988347e-05,4.59,0.20833333333333334
126,4.58995,-4.999999999988347e-05,4.59,0.21
127,4.58995,-4.999999999988347e-05,4.59,0.21166666666666667
128,4.58995,-4.999999999988347e-05,4.59,0.21333333333333335
129,4.58995,-4.999999999988347e-05,4.59,0.215
130,4.58995,-4.999999999988347e-05,4.59,0.21666666666666667
131,4.58995,-4.999999999988347e-05,4.59,0.21833333333333332
132,4.58995,-4.999999999988347e-05,4.59,0.22
133,4.58995,-4.999999999988347e-05,4.59,0.22166666666666668
134,4.58995,-4.999999999988347e-05,4.59,0.22333333333333333
135,4.58995,-4.999999999988347e-05,4.59,0.225
136,4.58995,-4.999999999988347e-05,4.59,0.22666666666666666
137,4.58995,-4.999999999988347e-05,4.59,0.22833333333333333
138,4.58995,-4.999999999988347e-05,4.59,0.23
139,4.58995,-4.999999999988347e-05,4.59,0.23166666666666666
140,4.57935,-4.999999999988347e-05,4.5794,0.23333333333333334
141,4.56412,-4.999999999988347e-05,4.56417,0.235
142,4.54889,-4.999999999988347e-05,4.54894,0.23666666666666666
143,4.53366,-4.999999999988347e-05,4.53371,0.23833333333333334
144,4.51844,-4.999999999988347e-05,4.51849,0.24
145,4.50321,-4.999999999988347e-05,4.50326,0.24166666666666667
146,4.49995,-4.999999999988347e-05,4.5,0.24333333333333335
147,4.50721,-4.999999999988347e-05,4.50726,0.245
148,4.5178,-4.999999999988347e-05,4.51785,0.24666666666666667
149,4.52839,-4.999999999988347e-05,4.52844,0.24833333333333332
150,4.5389800000000005,-4.999999999988347e-05,4.53903,0.25
151,4.54957,-4.999999999988347e-05,4.54962,0.25166666666666665
152,4.56016,-4.999999999988347e-05,4.56021,0.25333333333333335
153,4.57074,-4.999999999988347e-05,4.57079,0.255
154,4.58133,-4.999999999988347e-05,4.58138,0.25666666666666665
155,4.58995,-4.999999999988347e-05,4.59,0.25833333333333336
156,4.58995,-4.999999999988347e-05,4.59,0.26
157,4.58995,-4.999999999988347e-05,4.59,0.26166666666666666
158,4.58995,-4.999999999988347e-05,4.59,0.2633333333333333
159,4.58995,-4.999999999988347e-05,4.59,0.265
160,4.58995,-4.999999999988347e-05,4.59,0.26666666666666666
161,4.58995,-4.999999999988347e-05,4.59,0.2683333333333333
162,4.58995,-4.999999999988347e-05,4.59,0.27
163,4.58995,-4.999999999988347e-05,4.59,0.27166666666666667
164,4.58995,-4.999999999988347e-05,4.59,0.2733333333333333
165,4.58995,-4.999999999988347e-05,4.59,0.275
166,4.58995,-4.999999999988347e-05,4.59,0.27666666666666667
167,4.58995,-4.999999999988347e-05,4.59,0.2783333333333333
168,4.58995,-4.999999999988347e-05,4.59,0.28
169,4.58995,-4.999999999988347e-05,4.59,0.2816666666666667
170,4.58995,-4.999999999988347e-05,4.59,0.2833333333333333
171,4.58995,-4.999999999988347e-05,4.59,0.285
172,4.58995,-4.999999999988347e-05,4.59,0.2866666666666667
173,4.58995,-4.999999999988347e-05,4.59,0.28833333333333333
174,4.58995,-4.999999999988347e-05,4.59,0.29
175,4.58995,-4.999999999988347e-05,4.59,0.2916666666666667
176,4.58995,-4.999999999988347e-05,4.59,0.29333333333333333
177,4.58995,-4.999999999988347e-05,4.59,0.295
178,4.58995,-4.999999999988347e-05,4.59,0.2966666666666667
179,4.58995,-4.999999999988347e-05,4.59,0.29833333333333334
180,4.58995,-4.999999999988347e-05,4.59,0.3
181,4.58995,-4.999999999988347e-05,4.59,0.3016666666666667
182,4.58995,-4.999999999988347e-05,4.59,0.30333333333333334
183,4.58995,-4.999999999988347e-05,4.59,0.305
184,4.58995,-4.999999999988347e-05,4.59,0.30666666666666664
185,4.58995,-4.999999999988347e-05,4.59,0.30833333333333335
186,4.58995,-4.999999999988347e-05,4.59,0.31
187,4.58995,-4.999999999988347e-05,4.59,0.31166666666666665
188,4.58995,-4.999999999988347e-05,4.59,0.31333333333333335
189,4.58782,-4.999999999988347e-05,4.58787,0.315
190,4.5824300000000004,-4.999999999988347e-05,4.58248,0.31666666666666665
191,4.57704,-4.999999999988347e-05,4.57709,0.31833333333333336
192,4.57165,-4.999999999988347e-05,4.5717,0.32
193,4.56626,-4.999999999988347e-05,4.56631,0.32166666666666666
194,4.56087,-4.999999999988347e-05,4.56092,0.3233333333333333
195,4.55548,-4.999999999988347e-05,4.55553,0.325
196,4.55009,-4.999999999988347e-05,4.55014,0.32666666666666666
197,4.5447,-4.999999999988347e-05,4.54475,0.3283333333333333
198,4.53931,-4.999999999988347e-05,4.53936,0.33
199,4.53392,-4.999999999988347e-05,4.53397,0.33166666666666667
200,4.52853,-4.999999999988347e-05,4.52858,0.3333333333333333
201,4.52314,-4.999999999988347e-05,4.52319,0.335
202,4.51776,-4.999999999988347e-05,4.51781,0.33666666666666667
203,4.51237,-4.999999999988347e-05,4.51242,0.3383333333333333
204,4.50698,-4.999999999988347e-05,4.50703,0.34
205,4.50159,-4.999999999988347e-05,4.50164,0.3416666666666667
206,4.49995,-4.999999999988347e-05,4.5,0.3433333333333333
207,4.49995,-4.999999999988347e-05,4.5,0.345
208,4.49995,-4.999999999988347e-05,4.5,0.3466666666666667
209,4.49995,-4.999999999988347e-05,4.5,0.34833333333333333
210,4.49995,-4.999999999988347e-05,4.5,0.35
211,4.49995,-4.999999999988347e-05,4.5,0.3516666666666667
212,4.49995,-4.999999999988347e-05,4.5,0.35333333333333333
213,4.49995,-4.999999999988347e-05,4.5,0.355
214,4.49995,-4.999999999988347e-05,4.5,0.3566666666666667
215,4.49995,-4.999999999988347e-05,4.5,0.35833333333333334
216,4.49995,-4.999999999988347e-05,4.5,0.36
217,4.49995,-4.999999999988347e-05,4.5,0.3616666666666667
218,4.49995,-4.999999999988347e-05,4.5,0.36333333333333334
219,4.49995,-4.999999999988347e-05,4.5,0.365
220,4.49995,-4.999999999988347e-05,4.5,0.36666666666666664
221,4.49995,-4.999999999988347e-05,4.5,0.36833333333333335
222,4.49995,-4.999999999988347e-05,4.5,0.37
223,4.49995,-4.999999999988347e-05,4.5,0.37166666666666665
224,4.49995,-4.999999999988347e-05,4.5,0.37333333333333335
225,4.49995,-4.999999999988347e-05,4.5,0.375
226,4.49995,-4.999999999988347e-05,4.5,0.37666666666666665
227,4.49995,-4.999999999988347e-05,4.5,0.37833333333333335
228,4.49995,-4.999999999988347e-05,4.5,0.38
229,4.49995,-4.999999999988347e-05,4.5,0.38166666666666665
230,4.49995,-4.999999999988347e-05,4.5,0.38333333333333336
231,4.49995,-4.999999999988347e-05,4.5,0.385
232,4.49995,-4.999999999988347e-05,4.5,0.38666666666666666
233,4.49995,-4.999999999988347e-05,4.5,0.3883333333333333
234,4.49995,-4.999999999988347e-05,4.5,0.39
235,4.49995,-4.999999999988347e-05,4.5,0.39166666666666666
236,4.49995,-4.999999999988347e-05,4.5,0.3933333333333333
237,4.49995,-4.999999999988347e-05,4.5,0.395
238,4.49995,-4.999999999988347e-05,4.5,0.39666666666666667
239,4.49995,-4.999999999988347e-05,4.5,0.3983333333333333
240,4.49995,-4.999999999988347e-05,4.5,0.4
241,4.49995,-4.999999999988347e-05,4.5,0.40166666666666667
242,4.49995,-4.999999999988347e-05,4.5,0.4033333333333333
243,4.49995,-4.999999999988347e-05,4.5,0.405
244,4.49995,-4.999999999988347e-05,4.5,0.4066666666666667
245,4.49995,-4.999999999988347e-05,4.5,0.4083333333333333
246,4.49995,-4.999999999988347e-05,4.5,0.41
247,4.49995,-4.999999999988347e-05,4.5,0.4116666666666667
248,4.49995,-4.999999999988347e-05,4.5,0.41333333333333333
249,4.49995,-4.999999999988347e-05,4.5,0.415
250,4.49995,-4.999999999988347e-05,4.5,0.4166666666666667
251,4.49995,-4.999999999988347e-05,4.5,0.41833333333333333
252,4.49995,-4.999999999988347e-05,4.5,0.42
253,4.49995,-4.999999999988347e-05,4.5,0.4216666666666667
254,4.49995,-4.999999999988347e-05,4.5,0.42333333333333334
255,4.49995,-4.999999999988347e-05,4.5,0.425
256,4.49995,-4.999999999988347e-05,4.5,0.4266666666666667
257,4.49995,-4.999999999988347e-05,4.5,0.42833333333333334
258,4.49995,-4.999999999988347e-05,4.5,0.43
259,4.49995,-4.999999999988347e-05,4.5,0.43166666666666664
260,4.49995,-4.999999999988347e-05,4.5,0.43333333333333335
261,4.49995,-4.999999999988347e-05,4.5,0.435
262,4.49995,-4.999999999988347e-05,4.5,0.43666666666666665
263,4.49995,-4.999999999988347e-05,4.5,0.43833333333333335
264,4.49995,-4.999999999988347e-05,4.5,0.44
265,4.49995,-4.999999999988347e-05,4.5,0.44166666666666665
266,4.49995,-4.999999999988347e-05,4.5,0.44333333333333336
267,4.49995,-4.999999999988347e-05,4.5,0.445
268,4.49995,-4.999999999988347e-05,4.5,0.44666666666666666
269,4.49995,-4.999999999988347e-05,4.5,0.4483333333333333
270,4.49995,-4.999999999988347e-05,4.5,0.45
271,4.49995,-4.999999999988347e-05,4.5,0.45166666666666666
272,4.49995,-4.999999999988347e-05,4.5,0.4533333333333333
273,4.49995,-4.999999999988347e-05,4.5,0.455
274,4.49995,-4.999999999988347e-05,4.5,0.45666666666666667
275,4.49995,-4.999999999988347e-05,4.5,0.4583333333333333
276,4.49995,-4.999999999988347e-05,4.5,0.46
277,4.49995,-4.999999999988347e-05,4.5,0.46166666666666667
278,4.49995,-4.999999999988347e-05,4.5,0.4633333333333333
279,4.49995,-4.999999999988347e-05,4.5,0.465
280,4.49995,-4.999999999988347e-05,4.5,0.4666666666666667
281,4.49995,-4.999999999988347e-05,4.5,0.4683333333333333
282,4.49995,-4.999999999988347e-05,4.5,0.47
283,4.49995,-4.999999999988347e-05,4.5,0.4716666666666667
284,4.49995,-4.999999999988347e-05,4.5,0.47333333333333333
285,4.49995,-4.999999999988347e-05,4.5,0.475
286,4.49995,-4.999999999988347e-05,4.5,0.4766666666666667
287,4.49995,-4.999999999988347e-05,4.5,0.47833333333333333
288,4.49995,-4.999999999988347e-05,4.5,0.48
289,4.49995,-4.999999999988347e-05,4.5,0.4816666666666667
290,4.49995,-4.999999999988347e-05,4.5,0.48333333333333334
291,4.49995,-4.999999999988347e-05,4.5,0.485
292,4.49995,-4.999999999988347e-05,4.5,0.4866666666666667
293,4.49995,-4.999999999988347e-05,4.5,0.48833333333333334
294,4.49995,-4.999999999988347e-05,4.5,0.49
295,4.49995,-4.999999999988347e-05,4.5,0.49166666666666664
296,4.49995,-4.999999999988347e-05,4.5,0.49333333333333335
297,4.49995,-4.999999999988347e-05,4.5,0.495
298,4.49995,-4.999999999988347e-05,4.5,0.49666666666666665
299,4.49995,-4.999999999988347e-05,4.5,0.49833333333333335
300,4.49995,-4.999999999988347e-05,4.5,0.5
301,4.49995,-4.999999999988347e-05,4.5,0.5016666666666667
302,4.49995,-4.999999999988347e-05,4.5,0.5033333333333333
303,4.49995,-4.999999999988347e-05,4.5,0.505
304,4.49995,-4.999999999988347e-05,4.5,0.5066666666666667
305,4.49995,-4.999999999988347e-05,4.5,0.5083333333333333
306,4.49995,-4.999999999988347e-05,4.5,0.51
307,4.49995,-4.999999999988347e-05,4.5,0.5116666666666667
308,4.49995,-4.999999999988347e-05,4.5,0.5133333333333333
309,4.49995,-4.999999999988347e-05,4.5,0.515
310,4.49995,-4.999999999988347e-05,4.5,0.5166666666666667
311,4.49995,-4.999999999988347e-05,4.5,0.5183333333333333
312,4.49995,-4.999999999988347e-05,4.5,0.52
313,4.49995,-4.999999999988347e-05,4.5,0.5216666666666666
314,4.49995,-4.999999999988347e-05,4.5,0.5233333333333333
315,4.49995,-4.999999999988347e-05,4.5,0.525
316,4.49995,-4.999999999988347e-05,4.5,0.5266666666666666
317,4.49995,-4.999999999988347e-05,4.5,0.5283333333333333
